OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1129,GO22N,3643,Route 22,,MORGAN BOULEVARD METRO STATION,26971,"LANDOVER MALL/EAST SIDE;PERIMETER RDWY;",27818,Other Primary - Local Bus,2,PG TheBus,60,30,Peak,329,249,158,201,244,195,208,279,283,311,313,286
1130,GO22N,3643,Route 22,,MORGAN BOULEVARD METRO STATION,26971,"LANDOVER MALL/EAST SIDE;PERIMETER RDWY;",27818,Other Primary - Local Bus,2,PG TheBus,60,30,Peak,329,249,158,201,244,195,208,279,283,311,313,286
1131,GO22S,3645,Route 22,,"LANDOVER MALL/EAST SIDE;PERIMETER RDWY;",27818,MORGAN BOULEVARD METRO STATION,26971,Other Primary - Local Bus,2,PG TheBus,38,29,Off-Peak,329,249,158,201,244,195,208,279,283,311,313,286
1132,GO22S,3645,Route 22,,"LANDOVER MALL/EAST SIDE;PERIMETER RDWY;",27818,MORGAN BOULEVARD METRO STATION,26971,Other Primary - Local Bus,2,PG TheBus,38,29,Off-Peak,329,249,158,201,244,195,208,279,283,311,313,286
1133,GO23N,3647,Route 23,,ADDISON ROAD METRO STATION,26201,CHEVERLY METRO STATION,26160,Other Primary - Local Bus,2,PG TheBus,30,38,Off-Peak,502,489,568,535,512,447,481,462,436,490,493,483
1134,GO23S,3648,Route 23,,CHEVERLY METRO STATION,26160,ADDISON ROAD METRO STATION,26201,Other Primary - Local Bus,2,PG TheBus,30,39,Off-Peak,502,489,568,535,512,447,481,462,436,490,493,483
1135,GO24E,3649,Route 24,,CAPITOL HEIGHTS METRO STATION,21188,MORGAN BOULEVARD METRO STATION,26971,Other Primary - Local Bus,2,PG TheBus,30,55,Peak,927,951,990,970,892,869,829,689,719,883,919,878
1136,GO24E,3649,Route 24,,CAPITOL HEIGHTS METRO STATION,21188,MORGAN BOULEVARD METRO STATION,26971,Other Primary - Local Bus,2,PG TheBus,30,55,Peak,927,951,990,970,892,869,829,689,719,883,919,878
1137,GO24W,3651,Route 24,,MORGAN BOULEVARD METRO STATION,26971,CAPITOL HEIGHTS METRO STATION,21188,Other Primary - Local Bus,2,PG TheBus,30,53,Off-Peak,927,951,990,970,892,869,829,689,719,883,919,878
1138,GO24W,3651,Route 24,,MORGAN BOULEVARD METRO STATION,26971,CAPITOL HEIGHTS METRO STATION,21188,Other Primary - Local Bus,2,PG TheBus,30,53,Off-Peak,927,951,990,970,892,869,829,689,719,883,919,878
1139,GO21I,3638,Route 21,,NEW CARROLLTON METRO STATION,26193,EQUESTRIAN CENTER PARKING LOT #1,26840,Other Primary - Local Bus,2,PG TheBus,30,55,Peak,1155,1071,1266,1216,1161,968,1140,1058,1160,1229,972,998
1140,GO14E,3654,Route 14,,COLLEGE PARK/U OF MD METRO STATION,26094,PRINCE GEORGES PLAZA METRO STATION,26048,Other Primary - Local Bus,2,PG TheBus,50,37,Off-Peak,472,503,606,586,547,487,406,391,491,518,575,449
1141,DC98S,3602,Woodley Park-McPherson Square Metro via Adams Morgan,,CONNECTICUT AVE & 24TH ST,20650,NW I ST & NW 14TH ST,20072,Local Metrobus,2,DC Circulator,10,35,Peak,4027,4076,4003,4125,3567,3907,3695,3766,3917,4000,3635,3675
1142,FTBWKO,3656,B/J,,Frederick Marc TrnCtr,42540,KNOXVILLE RD & JEFFERSON PIKE(KNOXVILLE),42246,Other Primary - Express Bus,2,TransIT,60,30,Off-Peak,40,33,39,31,32,24,24,25,25,31,31,30
1143,FTEC1I,3657,E. County,,Spring Ridge Shopping Ctr,42375,Fred Senior Ctr,42540,Other Primary - Express Bus,2,TransIT,60,30,Off-Peak,8,6,9,9,6,7,7,7,8,8,7,8
1144,FTEC2O,3658,E. County,,Frederick Marc TrnCtr,42540,Spring Ridge Senior Apts,42375,Other Primary - Express Bus,2,TransIT,60,25,Off-Peak,8,6,9,9,6,7,7,7,8,8,7,8
1145,FTETS,3659,E/T,,FREDERICK MARC STATION,42538,FREDERICK MARC STATION,42540,Other Primary - Express Bus,2,TransIT,60,90,Peak,23,20,22,21,18,15,15,17,17,20,18,18
1146,FTMPOR,3660,POR MTM,,TANEY AVE@WILSON PLACE,42008,POINT OF ROCKS MARC STATION,42063,Other Primary - Express Bus,2,TransIT,30,38,Peak,73,73,78,73,69,58,58,57,62,73,74,66
1147,FTMPOR,3660,POR MTM,,TANEY AVE@WILSON PLACE,42008,POINT OF ROCKS MARC STATION,42063,Other Primary - Express Bus,2,TransIT,30,38,Peak,73,73,78,73,69,58,58,57,62,73,74,66
1148,FTWVSI,3626,65,,WALKERS VILLAGE SHOPPING CENTER(SAFEWAY),42150,MARC-FREDERICK,42540,Other Primary - Express Bus,2,TransIT,60,28,Off-Peak,187,171,195,182,155,157,143,135,152,161,169,157
1149,GO12L,3663,Route 12,,WEST HYATTSVILLE METRO STATION,26054,WEST HYATTSVILLE METRO STATION,27345,Other Primary - Local Bus,2,PG TheBus,30,49,Peak,306,317,353,319,315,281,291,263,284,295,268,298
1150,GO12L,3663,Route 12,,WEST HYATTSVILLE METRO STATION,26054,WEST HYATTSVILLE METRO STATION,27345,Other Primary - Local Bus,2,PG TheBus,30,49,Peak,306,317,353,319,315,281,291,263,284,295,268,298
1151,GO13L,3665,Route 13,,WEST HYATTSVILLE METRO STATION,26054,WEST HYATTSVILLE METRO STATION,27345,Other Primary - Local Bus,2,PG TheBus,30,34,Peak,317,333,342,334,302,283,260,246,293,310,326,303
1152,GO18N,3629,Route 18,,ADDISON ROAD METRO STATION,26201,EDWARDS PL & NEW HAMPSHIRE AVE,26042,Other Primary - Local Bus,2,PG TheBus,60,57,Off-Peak,1114,1136,1140,1150,1042,951,831,829,988,1120,1089,971
1153,GO14E,3654,Route 14,,COLLEGE PARK/U OF MD METRO STATION,26094,PRINCE GEORGES PLAZA METRO STATION,26048,Other Primary - Local Bus,2,PG TheBus,50,37,Off-Peak,472,503,606,586,547,487,406,391,491,518,575,449
1154,FTBWKI,3627,B/J,,KNOXVILLE RD & JEFFERSON PIKE(KNOXVILLE),42246,MARC-FREDERICK,42540,Other Primary - Express Bus,2,TransIT,60,45,Peak,40,33,39,31,32,24,24,25,25,31,31,30
1155,GO14W,3669,Route 14,,PRINCE GEORGES PLAZA METRO STATION,26048,COLLEGE PARK/U OF MD METRO STATION,26094,Other Primary - Local Bus,2,PG TheBus,60,38,Peak,472,503,606,586,547,487,406,391,491,518,575,449
1156,GO14W,3669,Route 14,,PRINCE GEORGES PLAZA METRO STATION,26048,COLLEGE PARK/U OF MD METRO STATION,26094,Other Primary - Local Bus,2,PG TheBus,60,38,Peak,472,503,606,586,547,487,406,391,491,518,575,449
1157,GO15XO,3671,Route 15X,,GREENBELT METRO RAIL STATION & BUS BAY A,26159,NEW CARROLLTON STATION & BUS BAY K,26106,Other Primary - Local Bus,2,PG TheBus,60,35,Peak,274,248,249,227,248,20,208,204,243,247,256,271
1158,GO16N,3632,Route 16,,NEW CARROLLTON STATION & BUS BAY K,26159,GREENBELT METRO STATION,26673,Other Primary - Local Bus,2,PG TheBus,60,48,Off-Peak,999,1037,1183,1134,1039,1004,945,886,973,1041,1073,1041
1159,GO16S,3673,Route 16,,GREENBELT METRO STATION,26673,NEW CARROLLTON STATION & BUS BAY K,26159,Other Primary - Local Bus,2,PG TheBus,60,47,Off-Peak,999,1037,1183,1134,1039,1004,945,886,973,1041,1073,1041
1160,GO16S,3673,Route 16,,GREENBELT METRO STATION,26673,NEW CARROLLTON STATION & BUS BAY K,26159,Other Primary - Local Bus,2,PG TheBus,60,47,Off-Peak,999,1037,1183,1134,1039,1004,945,886,973,1041,1073,1041
1161,GO17N,3675,Route 17,,RHODE ISLAND AV & 34TH ST,26127,IKEA STORE BUS BAY STOP,27368,Other Primary - Local Bus,2,PG TheBus,30,35,Peak,566,602,564,569,525,491,445,431,473,517,538,535
1162,GO26E,3676,Route 26,,MORGAN BOULEVARD METRO STATION,26971,LARGO TOWN CENTER METRO STATION,26330,Other Primary - Local Bus,2,PG TheBus,60,32,Peak,487,525,642,582,513,393,424,444,452,501,423,398
1163,GO26E,3676,Route 26,,MORGAN BOULEVARD METRO STATION,26971,LARGO TOWN CENTER METRO STATION,26330,Other Primary - Local Bus,2,PG TheBus,60,32,Peak,487,525,642,582,513,393,424,444,452,501,423,398
1164,GO26W,3202,Route 26,,LARGO TOWN CENTER METRO STATION,26330,MORGAN BOULEVARD METRO STATION,26971,Other Primary - Local Bus,2,PG TheBus,38,32,Off-Peak,487,525,642,582,513,393,424,444,452,501,423,398
1165,GO17N,3675,Route 17,,RHODE ISLAND AV & 34TH ST,26127,IKEA STORE BUS BAY STOP,27368,Other Primary - Local Bus,2,PG TheBus,30,35,Peak,566,602,564,569,525,491,445,431,473,517,538,535
1166,GO13L,3665,Route 13,,WEST HYATTSVILLE METRO STATION,26054,WEST HYATTSVILLE METRO STATION,27345,Other Primary - Local Bus,2,PG TheBus,30,34,Peak,317,333,342,334,302,283,260,246,293,310,326,303
1167,RO67I,3681,67,,TRAVILLE GATEWAY DR & TRANSIT,23240,SHADY GROVE STATION & BAY A -,22397,Other Primary - Local Bus,2,Ride On Bus,30,28,Peak,125,125,125,125,100,100,95,119,122,157,110,117
1168,RO74O,3425,74,,SHADY GROVE STATION & BAY C -,22395,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,30,38,Off-Peak,975,1058,1337,1516,1373,1293,950,907,1042,1000,1161,1204
1169,RO75B,3683,75,,WHELAN LA & &22880 (MC CORRECT,23208,GERMANTOWN TRANSIT CENTER & BA,22657,Other Primary - Local Bus,2,Ride On Bus,30,27,Peak,469,475,584,591,556,475,413,376,452,469,500,436
1170,RO75B,3683,75,,WHELAN LA & &22880 (MC CORRECT,23208,GERMANTOWN TRANSIT CENTER & BA,22657,Other Primary - Local Bus,2,Ride On Bus,30,27,Peak,469,475,584,591,556,475,413,376,452,469,500,436
1171,RO81O,3685,81,,MARINELLI RD & ROCKVILLE PIKE,22670,ROCKVILLE STATION & BAY F - WE,22370,Other Primary - Local Bus,2,Ride On Bus,30,25,Peak,195,175,175,231,195,174,157,139,140,165,148,181
1172,RO90,3686,90,,SHADY GROVE STATION & BAY C -,22395,SWEEPSTAKES RD & CLUBVIEW RD,23109,Other Primary - Local Bus,2,Ride On Bus,50,40,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
1173,RO05I,3590,5,,TWINBROOK STATION & BAY C - WE,22344,BONIFANT ST & BAY T,22172,Other Primary - Local Bus,2,Ride On Bus,20,42,Peak,1933,1850,1825,2063,1932,1889,1765,1820,1926,2111,2026,1974
1174,RO90AI,3427,90,,WOODFIELD RD & &23716,23109,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,60,39,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
1175,RO90I,3689,90,,WOODFIELD RD & WELSH RD,22800,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,60,30,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
1176,RO96O,3690,96,,WESTFIELD SHOPPING CENTER & MO,22317,GROSVENOR STATION & BAY G,22327,Other Primary - Local Bus,2,Ride On Bus,30,16,Off-Peak,409,425,399,536,498,428,438,410,404,443,503,518
1177,WMYELA,3691,YELLOW,Not collected,FT,8021,HUNTINGTON,8048,Metro Rail,1,MetroRail-Yellow,12,36,Off-Peak,,,,,,,,,,,,
1178,RO53O,3692,54,,SHADY GROVE STATION & BAY C -,22395,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,2,Ride On Bus,60,53,Peak,2054,2072,1975,1988,1925,1875,1825,1725,1775,1814,1895,2145
1179,RO51O,3693,51,,NORBECK RD & NORBECK PARK & RI,22386,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,2,Ride On Bus,30,25,Peak,326,294,278,250,255,265,253,268,244,257,287,293
1180,DCPOTSKYI,3694,Potomac Ave Metro to Skyland via Barracks Row,,NAYLOR RD & GOOD HOPE RD,21715,POTOMAC AVE METRO,21248,Other Primary - Local Bus,2,DC Circulator,10,30,Peak,1840,1794,2141,1848,1570,1483,1632,1675,1633,1803,1778,1647
1181,DCPOTSKYI,3694,Potomac Ave Metro to Skyland via Barracks Row,,NAYLOR RD & GOOD HOPE RD,21715,POTOMAC AVE METRO,21248,Other Primary - Local Bus,2,DC Circulator,10,30,Peak,1840,1794,2141,1848,1570,1483,1632,1675,1633,1803,1778,1647
1182,WMGRNA,3696,GRN,Not collected,GREENBELT,8027,BRANCH AVE,8045,Metro Rail,1,MetroRail-Green,6,47,Peak,,,,,,,,,,,,
1183,WMGRNA,3696,GRN,Not collected,GREENBELT,8027,BRANCH AVE,8045,Metro Rail,1,MetroRail-Green,6,47,Peak,,,,,,,,,,,,
1184,WMREDA,3698,RED,Not collected,SHADY GROVE METRO,8001,GLENMONT METRO,8026,Metro Rail,1,MetroRail-Red,6,65,Peak,,,,,,,,,,,,
1185,WMREDB,3699,RED,Not collected,SILVER SPRING METRO,8005,GROSVENOR METRO,8023,Metro Rail,1,MetroRail-Red,6,44,Peak,,,,,,,,,,,,
1186,WMREDB,3699,RED,Not collected,SILVER SPRING METRO,8005,GROSVENOR METRO,8023,Metro Rail,1,MetroRail-Red,6,44,Peak,,,,,,,,,,,,
