OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1,MT220BI,3390,220,,ROWE BLVD & TAYLOR AVE sb,45569,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,95,Peak,,,766,783,753,595,678,702,701,727,726,700
2,WMV09I,3391,"V7,8,9",,SE BENNING RD & SE HANNA PL,21304,1ST SE & K ST SE,21667,Local Metrobus,2,Metro Bus,20,35,Peak,4119,3874,4501,4358,3967,3628,3716,3926,4196,4038,4409,2884
3,WMW01O,3392,W1,,SOUTHERN AVE STATION & BUS BAY Q,20888,"TERMINAL;SW IRVINGTON ST & SW JOLIET ST",20845,Local Metrobus,2,Metro Bus,20,33,Peak,826,826,1331,1307,1255,1068,1118,1138,1197,980,1086,999
4,MT220O,3393,220,,C ST & 21 ST NW fs eb,20266,KENT NARROWS P & R,45602,Maryland Commuter Bus,2,MTA,60,103,Off-Peak,,,766,783,753,595,678,702,701,727,726,700
5,MT515AI,3394,515,,Monocacy MARC Station (Bus),42372,FERNWOOD RD & ROCK SPRING DR nb,22005,Maryland Commuter Bus,2,MTA,30,72,Peak,,,,,830,701,755,805,783,774,807,780
6,MT335I,3395,335,,CLARKSVILLE PARK & RIDE,44058,18TH ST & M ST NW nb,20480,Maryland Commuter Bus,2,MTA,20,80,Peak,,,513,505,501,402,441,490,469,499,515,492
7,MT725I,3396,725,,CALIFORNIA AIRPORT in ST MARY:S CO,49569,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,113,Peak,,,,,312,247,262,279,284,307,298,295
8,ANNGRNO,3397,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,23,Peak,,,,,,,,,,,,
9,MT345O,3398,345,,LONG GATE,44163,18TH ST & M ST NW nb,20480,Maryland Commuter Bus,2,MTA,20,99,Peak,,,485,480,458,382,423,460,450,479,489,469
10,MT902BI,3399,902,,PRINCE FREDERICK  (FAIRGROUND & ARMORY RD),49079,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,111,Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
11,AMTK95O,3400,,Not collected,UNION STATION VRE,9001,FREDERICKSBURG VRE STATION,9084,Commuter Rail,2,AMTRK,60,69,Off-Peak,,,,,,,,,,,,
12,VMAS321,3401,Manassas,,Washington-Union Station,9001,Broad Run,9067,Commuter Rail,2,VRE,60,75,Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
13,VMAS336,3402,Manassas,,Broad Run,9067,Washington-Union Station,9001,Commuter Rail,2,VRE,60,70,Off-Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
14,MBR876,3403,Brunswick,,BRUNSWICK  STATION,9014,UNION STATION,9001,Commuter Rail,2,MARC,60,95,Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
15,MBR871,3404,Brunswick,,UNION STATION,9001,BRUNSWICK  STATION,9014,Commuter Rail,2,MARC,60,94,Off-Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
16,MBR878,3405,Brunswick,,Duffields WVA,9016,Union Station,9001,Commuter Rail,2,MARC,60,111,Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
17,MCAM847,3406,Camden,,DORSEY,9027,UNION STATION,9001,Commuter Rail,2,MARC,60,54,Peak,4422,4484,4626,4577,4474,4234,4352,4116,4436,4368,4371,4593
18,MT650I,3407,650,,LA PLATA  & CHARLES CO,47167,C ST & 21 ST NW fs eb,20228,Maryland Commuter Bus,2,MTA,30,94,Peak,651,664,718,704,719,580,628,674,677,672,664,653
19,MT650O,3408,650,,C ST & 21 ST NW fs eb,20228,LA PLATA  & CHARLES CO,47030,Maryland Commuter Bus,2,MTA,60,84,Off-Peak,651,664,718,704,719,580,628,674,677,672,664,653
20,MT620AI,3409,620,,US 301 P & R & SMALLWOOD DR,47062,C ST & 21 ST NW fs eb,20228,Maryland Commuter Bus,2,MTA,20,71,Peak,840,843,906,873,805,664,729,764,787,765,830,819
21,MT620BO,3410,620,,C ST & 21 ST NW fs eb,20228,SOUTHERN MARYLAND BLUE CRABS STADIUM,47269,Maryland Commuter Bus,2,MTA,60,87,Off-Peak,840,843,906,873,805,664,729,764,787,765,830,819
22,MT315AI,3411,315,,COLUMBIA MALL & SOUTH RING RD eb,44251,M ST & 8/9TH STS mid eb,21286,Maryland Commuter Bus,2,MTA,30,108,Peak,,,590,579,550,454,523,574,559,592,600,570
23,MT902AO,3412,902,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,ST LEONARD CHURCH MD 2 & BALL RD,49027,Maryland Commuter Bus,2,MTA,60,120,Off-Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
24,MT315BI,3413,315,,LOTTE PLAZA US 40 & US 29,44041,M ST & 8/9TH STS mid eb,21286,Maryland Commuter Bus,2,MTA,30,121,Peak,,,590,579,550,454,523,574,559,592,600,570
25,MT902B0,3414,902,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,PRINCE FREDERICK  (FAIRGROUND & ARMORY RD),49079,Maryland Commuter Bus,2,MTA,60,108,Off-Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
26,MT735I,3415,735,,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,N CAPITOL ST & H ST nb,20276,Maryland Commuter Bus,2,MTA,20,103,Peak,,,,,483,390,436,451,471,487,493,502
27,MT735O,3416,735,,N CAPITOL ST & H ST NW sb,20276,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,Maryland Commuter Bus,2,MTA,60,102,Off-Peak,,,,,483,390,436,451,471,487,493,502
28,MT904AI,3417,904,,NORTH BEACH PM 5TH & CHESAPEAKE,49127,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,20,107,Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
29,MT904AO,3418,904,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,NORTH BEACH PM 5TH & CHESAPEAKE,49127,Maryland Commuter Bus,2,MTA,60,90,Off-Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
30,MT904BI,3419,904,,PINDELL  MD 4 & LOWER PINDELL RD,45555,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,95,Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
31,MT715BO,3420,715,,20TH ST & E ST NW nb,20206,CALIFORNIA AIRPORT in ST MARY:S CO,49569,Maryland Commuter Bus,2,MTA,60,107,Off-Peak,,,,,731,589,666,699,709,707,732,730
32,MCAM840,3421,Camden,,UNION STATION,9001,DORSEY,9027,Commuter Rail,2,MARC,60,47,Peak,4422,4484,4626,4577,4474,4234,4352,4116,4436,4368,4371,4593
33,MT715AI,3422,715,,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,19TH ST & E ST NW sb,20205,Maryland Commuter Bus,2,MTA,15,86,Peak,,,,,731,589,666,699,709,707,732,730
34,MT715AO,3423,715,,20TH ST & E ST NW nb,20206,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,Maryland Commuter Bus,2,MTA,60,87,Off-Peak,,,,,731,589,666,699,709,707,732,730
35,MT902AI,3424,902,,ST LEONARD CHURCH MD 2 & BALL RD,49027,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,126,Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
36,RO74O,3425,74,,SHADY GROVE STATION & BAY C -,22395,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,30,38,Off-Peak,975,1058,1337,1516,1373,1293,950,907,1042,1000,1161,1204
37,RO76%A,3426,76,,SHADY GROVE STATION & BAY C -,22395,QUINCE ORCHARD RD & DARNESTOWN,22285,Other Primary - Local Bus,2,Ride On Bus,30,20,Off-Peak,784,805,1057,966,897,861,725,672,725,750,700,700
38,RO90AI,3427,90,,WOODFIELD RD & &23716,23109,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,60,39,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
39,RO90AO,3428,90,,SHADY GROVE STATION & BAY C -,22395,WOODFIELD RD & &23716,23109,Other Primary - Local Bus,2,Ride On Bus,60,28,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
40,MT610I,3429,610,,US 301 P & R & SMALLWOOD DR,47062,12TH ST & G ST NW nb,20117,Maryland Commuter Bus,2,MTA,15,59,Peak,836,791,839,856,862,675,747,835,847,862,867,817
41,MT260I,3430,260,,SEVERNA PARK PARK & RIDE,45792,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,80,Peak,,,304,298,298,248,287,296,292,280,286,275
42,MT515BI,3431,515,,FREDERICK MARC STATION (BUS),42540,SHADY GROVE & METRO STATION,22395,Maryland Commuter Bus,2,MTA,30,55,Peak,,,,,830,701,755,805,783,774,807,780
43,RO61O,3432,61,,SHADY GROVE STATION & BAY C -,22395,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,27,48,Off-Peak,2925,2986,3136,3052,2833,2676,2550,2475,2614,2900,2648,2676
44,LCC954/5/6,3433,Purcellville-DC,,LOUDOUN STATION PARK & RIDE,38407,WIEHLE-RESTON EAST METRO STATION,35099,Other Primary - Express Bus,2,Loudoun County Commuter Bus,20,18,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
45,ANNREDO,3434,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,25,Peak,,,,,,,,,,,,
46,ANNREDO,3434,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,25,Peak,,,,,,,,,,,,
47,ANNREDI,3436,,Not collected,EASTPORT PLAZA,45876,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,24,Peak,,,,,,,,,,,,
48,ANNREDI,3436,,Not collected,EASTPORT PLAZA,45876,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,24,Peak,,,,,,,,,,,,
49,RO38O,3438,38,,MARINELLI RD & ROCKVILLE PIKE,22670,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,2,Ride On Bus,30,27,Off-Peak,966,975,925,875,850,850,800,700,775,816,770,725
50,FT80,3439,80,,Frederick Towne Mall  @ Boscovs,42029,Frederick Towne Mall  @ Boscovs,42336,Other Primary - Express Bus,2,TransIT,60,85,Off-Peak,96,102,128,128,114,89,82,98,96,104,87,87
51,FT60BI,3440,60,,Fairview Avenue @ College Park Plaza (Safeway),42323,Transit Center (downtown Frederick MARC Train Stat,42540,Other Primary - Express Bus,2,TransIT,60,10,Off-Peak,175,185,229,217,194,179,162,197,180,204,188,180
52,FT80,3439,80,,Frederick Towne Mall  @ Boscovs,42029,Frederick Towne Mall  @ Boscovs,42336,Other Primary - Express Bus,2,TransIT,60,85,Off-Peak,96,102,128,128,114,89,82,98,96,104,87,87
53,FT85S,3442,Rt. 85,,Frederick Marc TrnCtr.,42538,Frederick Marc TrnCtr,42540,Other Primary - Express Bus,2,TransIT,60,42,Peak,11,12,9,12,12,9,8,9,9,8,7,8
54,WMK06I,2967,K6,,LOCKWOOD DR & WHITE OAK S/C,22549,FT TOTTEN STATION & BUS BAY A,21106,Local Metrobus,2,Metro Bus,20,39,Off-Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
55,WMK06I,2967,K6,,LOCKWOOD DR & WHITE OAK S/C,22549,FT TOTTEN STATION & BUS BAY A,21106,Local Metrobus,2,Metro Bus,20,39,Off-Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
56,WMM04%I,2969,M4,,NW WESTERN AV & NW PINEHURST CI,20783,NW FORT DR & NW ALBEMARLE ST -TENLEYTOWN,20718,Local Metrobus,2,Metro Bus,20,16,Peak,767,803,1098,1074,1010,862,1003,998,1130,987,1080,970
57,WMK06O,2970,K6,,FT TOTTEN STATION & BUS BAY A,21106,LOCKWOOD DR & WHITE OAK S/C,22550,Local Metrobus,2,Metro Bus,20,44,Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
58,WMJ04I,2971,J4,,COLLEGE PARK UMD STATION & BUS BAY,26094,BETHESDA STATION & BUS BAY C,22048,Local Metrobus,2,Metro Bus,20,54,Peak,1244,1263,1290,1332,1322,1130,1054,1105,1123,1267,1254,1194
59,WMK12I,2972,"K11,12,13",,BRANCH AVE STATION & BUS BAY E,26527,SUITLAND STATION & BUS BAY K,26570,Local Metrobus,2,Metro Bus,30,43,Peak,2112,2083,2183,2110,1914,1808,1763,1876,1956,1972,2055,2038
60,WMK12O,2973,"K11,12,13",,SUITLAND STATION & BUS BAY K,26570,BRANCH AVE STATION & BUS BAY E,26566,Local Metrobus,2,Metro Bus,30,38,Peak,2112,2083,2183,2110,1914,1808,1763,1876,1956,1972,2055,2038
61,WMK12O,2973,"K11,12,13",,SUITLAND STATION & BUS BAY K,26570,BRANCH AVE STATION & BUS BAY E,26566,Local Metrobus,2,Metro Bus,30,38,Peak,2112,2083,2183,2110,1914,1808,1763,1876,1956,1972,2055,2038
62,WMK13I,2975,"K11,12,13",,DONNELL DR & FOREST VILLAGE PARK S/,26308,SUITLAND STATION & BUS BAY K,26570,Local Metrobus,2,Metro Bus,30,22,Peak,2112,2083,2183,2110,1914,1808,1763,1876,1956,1972,2055,2038
63,WML01I,2976,"L1,2",,CHEVY CHASE TERM RDWY & CONNECTICUT,20744,18TH ST NW & E ST NW (S),20234,Local Metrobus,2,Metro Bus,12,51,Peak,5213,4833,5330,5216,4974,4639,5073,5414,5354,5209,5277,5275
64,WML02I,2977,"L1,2",,CHEVY CHASE TERM RDWY & CONNECTICUT,20744,17TH ST NW (WEST) & I ST NW,20072,Local Metrobus,2,Metro Bus,12,43,Peak,5213,4833,5330,5216,4974,4639,5073,5414,5354,5209,5277,5275
65,WML02I,2977,"L1,2",,CHEVY CHASE TERM RDWY & CONNECTICUT,20744,17TH ST NW (WEST) & I ST NW,20072,Local Metrobus,2,Metro Bus,12,43,Peak,5213,4833,5330,5216,4974,4639,5073,5414,5354,5209,5277,5275
66,WML02O,2979,"L1,2",,17TH ST (WEST) & I ST NW,20444,CHEVY CHASE TERM RDWY & CONNECTICUT,20744,Local Metrobus,2,Metro Bus,19,41,Off-Peak,5213,4833,5330,5216,4974,4639,5073,5414,5354,5209,5277,5275
67,WML02O,2979,"L1,2",,17TH ST (WEST) & I ST NW,20444,CHEVY CHASE TERM RDWY & CONNECTICUT,20744,Local Metrobus,2,Metro Bus,19,41,Off-Peak,5213,4833,5330,5216,4974,4639,5073,5414,5354,5209,5277,5275
68,WML08I,2981,L8,,FRIENDSHIP HGTS STA & BUS BAY K,22382,BEL PRE RD & GRAND PRE RD,22864,Local Metrobus,2,Metro Bus,20,34,Peak,2701,2620,2697,2566,2383,2189,2059,2232,2326,2408,2489,2542
69,WML08I,2981,L8,,FRIENDSHIP HGTS STA & BUS BAY K,22382,BEL PRE RD & GRAND PRE RD,22864,Local Metrobus,2,Metro Bus,20,34,Peak,2701,2620,2697,2566,2383,2189,2059,2232,2326,2408,2489,2542
70,WML08O,2983,L8,,BEL PRE RD & GRAND PRE RD,22864,FRIENDSHIP HGTS STA & BUS BAY K,22382,Local Metrobus,2,Metro Bus,30,40,Off-Peak,2701,2620,2697,2566,2383,2189,2059,2232,2326,2408,2489,2542
71,WMK06O,2970,K6,,FT TOTTEN STATION & BUS BAY A,21106,LOCKWOOD DR & WHITE OAK S/C,22550,Local Metrobus,2,Metro Bus,20,44,Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
72,WM03AO,2985,3A,,N MOORE ST & ROSSLYN STATION BUS BA,30120,PATRIOT DR & AMERICANA DR,34978,Local Metrobus,2,Metro Bus,30,58,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
73,WM02TO,2986,2T,,DUNN LORING STATION & TEMP BAY E,35918,TYSONS CORNER STATION (NORTH SIDE),36005,Local Metrobus,2,Metro Bus,60,36,Off-Peak,620,552,534,522,476,456,464,466,493,484,500,523
74,WM02TI,2987,2T,,TYSONS CORNER STATION (NORTH SIDE),36005,DUNN LORING STATION & TEMP BAY E,34611,Local Metrobus,2,Metro Bus,30,38,Peak,620,552,534,522,476,456,464,466,493,484,500,523
75,WM02BI,2988,2B,"WMATA began reporting 02B separately beginning Dec 13, previously grouped 2A,B,C,G",ALLIANCE DR & #4890,34681,DUNN LORING STATION & TEMP BAY D,35918,Local Metrobus,2,Metro Bus,30,56,Peak,1025,1026,1132,1062,948,882,936,925,947,978,1055,1003
76,WM01CI,2989,1C,,ALLIANCE DR & #4890,34681,DUNN LORING STATION & TEMP BAY D,34611,Local Metrobus,2,Metro Bus,30,62,Peak,950,956,992,940,860,835,898,930,960,1024,1039,967
77,WM03AO,2985,3A,,N MOORE ST & ROSSLYN STATION BUS BA,30120,PATRIOT DR & AMERICANA DR,34978,Local Metrobus,2,Metro Bus,30,58,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
78,DAT5E,2991,AT5,,Van Dorn St Metro Station - Bay A,34022,Braddock Rd Metro Station - Bay E,32158,Other Primary - Local Bus,2,Dash,30,73,Peak,1677,1608,1723,1733,1513,1526,1458,1500,1523,1577,1690,1722
79,WM02TO,2986,2T,,DUNN LORING STATION & TEMP BAY E,35918,TYSONS CORNER STATION (NORTH SIDE),36005,Local Metrobus,2,Metro Bus,60,36,Off-Peak,620,552,534,522,476,456,464,466,493,484,500,523
80,WM03TI,2993,3T,,MCLEAN STATION & BUS BAY,35042,E FALLS CHURCH STA & BUS BAY D,30064,Local Metrobus,2,Metro Bus,60,43,Off-Peak,744,681,701,692,649,609,602,619,629,677,684,692
81,WM03Y,2994,3Y,,N GEORGE MASON DR & LEE HW,30035,NW I ST & NW 14TH ST,20075,Local Metrobus,2,Metro Bus,20,43,Peak,458,432,481,423,406,332,421,435,404,426,434,432
82,WM04AI,2995,"4A,B",,SEVEN CORNERS TC BUS BAY B,34094,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,60,23,Off-Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
83,WM04AI,2995,"4A,B",,SEVEN CORNERS TC BUS BAY B,34094,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,60,23,Off-Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
84,WM04AO,2997,"4A,B",,N MOORE ST & ROSSLYN STATION BUS BA,30120,SEVEN CORNERS TC BUS BAY B,34094,Local Metrobus,2,Metro Bus,30,24,Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
85,WM04AO,2997,"4A,B",,N MOORE ST & ROSSLYN STATION BUS BA,30120,SEVEN CORNERS TC BUS BAY B,34094,Local Metrobus,2,Metro Bus,30,24,Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
86,WM03TO,2999,3T,,E FALLS CHURCH STA & BUS BAY D,30064,MCLEAN STATION & BUS BAY,35042,Local Metrobus,2,Metro Bus,60,42,Off-Peak,744,681,701,692,649,609,602,619,629,677,684,692
87,WM04BI,3000,"4A,B",,SEVEN CORNERS TC BUS BAY B,36111,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,50,32,Off-Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
88,WM04BO,3001,"4A,B",,N MOORE ST & ROSSLYN STATION BUS BA,30120,SEVEN CORNERS TC BUS BAY B,36111,Local Metrobus,2,Metro Bus,30,34,Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
89,WM04BO,3001,"4A,B",,N MOORE ST & ROSSLYN STATION BUS BA,30120,SEVEN CORNERS TC BUS BAY B,36111,Local Metrobus,2,Metro Bus,30,34,Peak,1787,1755,1788,1775,1661,1545,1520,1575,1656,1718,1750,1750
90,RO55/,3003,55,,LAKEFOREST TRANSIT CENTER & OD,22430,ROCKVILLE STATION & BAY C - EA,22370,Other Primary - Local Bus,2,Ride On Bus,20,33,Off-Peak,7529,7770,8847,8554,7648,7025,7025,7459,7050,8202,8086,7530
91,WMC26I,3004,"C21,22,26,29",,WATKINS PARK DR & CHESTERTON DR,27756,LARGO TOWN CENTER STATION & BUS BAY,26330,Local Metrobus,2,Metro Bus,60,20,Off-Peak,2899,2623,2905,2724,2318,2013,1984,2310,2392,2576,2354,2446
92,DAT5W,3005,AT5,,Braddock Rd Metro Station - Bay E,32158,Van Dorn St Metro Station - Bay B,34022,Other Primary - Local Bus,2,Dash,30,61,Off-Peak,1677,1608,1723,1733,1513,1526,1458,1500,1523,1577,1690,1722
93,DAT5W,3005,AT5,,Braddock Rd Metro Station - Bay E,32158,Van Dorn St Metro Station - Bay B,34022,Other Primary - Local Bus,2,Dash,30,61,Off-Peak,1677,1608,1723,1733,1513,1526,1458,1500,1523,1577,1690,1722
94,DAT6E,3007,AT6,,W Campus Dr and Dawes Ave,32300,King St Metro Station - Bay B,32157,Other Primary - Local Bus,2,Dash,30,21,Off-Peak,793,876,1127,1080,951,825,875,939,937,1009,855,821
95,DAT6W,3008,AT6,,King St Metro Station - Bay E,32157,W Campus Dr and Dawes Ave,32187,Other Primary - Local Bus,2,Dash,30,23,Off-Peak,793,876,1127,1080,951,825,875,939,937,1009,855,821
96,DAT34S,3009,AT3-4,,N Fairfax St and King St,32214,N Fairfax St and King St,32379,Other Primary - Local Bus,2,Dash,60,44,Off-Peak,72,90,86,80,65,50,47,60,74,55,73,83
97,DAT7W,3010,AT7,,Jefferson St and S Fayette St,32216,5801 Duke St,32148,Other Primary - Local Bus,2,Dash,30,54,Peak,682,707,651,665,621,573,597,630,629,658,665,672
98,DAT8E,3011,AT8,,Van Dorn St Metro Station - Bay B,34022,N Fairfax St and Pendleton St,32056,Other Primary - Local Bus,2,Dash,20,52,Peak,3037,3186,3275,3213,2889,2752,2679,2770,2902,2893,2980,2994
99,DAT8E,3011,AT8,,Van Dorn St Metro Station - Bay B,34022,N Fairfax St and Pendleton St,32056,Other Primary - Local Bus,2,Dash,20,52,Peak,3037,3186,3275,3213,2889,2752,2679,2770,2902,2893,2980,2994
100,WM01AI,3013,"1A,B,E,Z",,VIENNA STATION & BUS BAY L,35062,BALLSTON STATION & BUS BAY C,30093,Local Metrobus,2,Metro Bus,30,61,Off-Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
101,WM01AO,3014,"1A,B,E,Z",,BALLSTON STATION & BUS BAY C,30093,VIENNA STATION & BUS BAY L,35062,Local Metrobus,2,Metro Bus,30,64,Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
102,WM03AI,3015,3A,,PATRIOT DR & AMERICANA DR,34978,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,60,52,Off-Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
103,WM01BO,3016,"1A,B,E,Z",,BALLSTON STATION & BUS BAY C,30093,DUNN LORING STATION & BUS BAY D,34611,Local Metrobus,2,Metro Bus,30,52,Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
104,WM03AI,3015,3A,,PATRIOT DR & AMERICANA DR,34978,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,60,52,Off-Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
105,RO55O/,3018,55,,ROCKVILLE STATION & BAY C - EA,22351,LAKEFOREST TRANSIT CENTER & OD,22430,Other Primary - Local Bus,2,Ride On Bus,20,37,Off-Peak,7529,7770,8847,8554,7648,7025,7025,7459,7050,8202,8086,7530
106,WM01CI,2989,1C,,ALLIANCE DR & #4890,34681,DUNN LORING STATION & TEMP BAY D,34611,Local Metrobus,2,Metro Bus,30,62,Peak,950,956,992,940,860,835,898,930,960,1024,1039,967
107,WM01EI,3020,"1A,B,E,Z",,SEVEN CORNERS TC BUS BAY C,34094,BALLSTON STATION & BUS BAY C,30093,Local Metrobus,2,Metro Bus,30,25,Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
108,WM01CO,3021,1C,,DUNN LORING STATION & TEMP BAY D,34611,ALLIANCE DR & #4975,34681,Local Metrobus,2,Metro Bus,30,58,Peak,950,956,992,940,860,835,898,930,960,1024,1039,967
109,WM01CO,3021,1C,,DUNN LORING STATION & TEMP BAY D,34611,ALLIANCE DR & #4975,34681,Local Metrobus,2,Metro Bus,30,58,Peak,950,956,992,940,860,835,898,930,960,1024,1039,967
110,WM01AO,3014,"1A,B,E,Z",,BALLSTON STATION & BUS BAY C,30093,VIENNA STATION & BUS BAY L,35062,Local Metrobus,2,Metro Bus,30,64,Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
111,GO35L,3024,Route 35,,SOUTHERN AVE METRO STATION,26573,SOUTHERN AVE METRO STATION,27920,Other Primary - Local Bus,2,PG TheBus,30,112,Peak,459,521,574,603,519,505,454,452,540,599,601,577
112,GO35L,3024,Route 35,,SOUTHERN AVE METRO STATION,26573,SOUTHERN AVE METRO STATION,27920,Other Primary - Local Bus,2,PG TheBus,30,112,Peak,459,521,574,603,519,505,454,452,540,599,601,577
113,WM02BI,2988,2B,"WMATA began reporting 02B separately beginning Dec 13, previously grouped 2A,B,C,G",ALLIANCE DR & #4890,34681,DUNN LORING STATION & TEMP BAY D,35918,Local Metrobus,2,Metro Bus,30,56,Peak,1025,1026,1132,1062,948,882,936,925,947,978,1055,1003
114,WM02TI,2987,2T,,TYSONS CORNER STATION (NORTH SIDE),36005,DUNN LORING STATION & TEMP BAY E,34611,Local Metrobus,2,Metro Bus,30,38,Peak,620,552,534,522,476,456,464,466,493,484,500,523
115,WM05A#1I,3028,5A,,DULLES AIRPORT MAIN TERMINAL & ARRIVALS,38040,D ST SW BETWEEN 6TH AND 7TH ST SW,20047,Express Metrobus,2,Metro Bus,43,45,Off-Peak,1372,1051,982,901,853,906,737,753,912,977,1056,990
116,WM01BI,3029,"1A,B,E,Z",,DUNN LORING STATION & TEMP BAY C,34611,BALLSTON STATION & BUS BAY C,30093,Local Metrobus,2,Metro Bus,20,57,Peak,4168,4001,4050,3891,3658,3510,3277,3505,3642,3806,3862,3880
117,WM09A%O,3030,9A,,PENTAGON STATION & BUS BAY U2,30359,HUNTINGTON STATION (N) & BUS BAY C,34154,Local Metrobus,2,Metro Bus,30,33,Peak,1598,1569,1466,1397,1330,1275,1272,1309,1379,1408,1364,1368
118,WM07PO,3031,"7C,H,P,W,X",,PENTAGON STATION & BUS BAY U5,30359,PARK CENTER DR & #2701,32185,Express Metrobus,2,Metro Bus,20,11,Peak,1548,1518,1656,1622,1534,1331,1343,1548,1493,1445,1405,1413
119,WM07WI,3032,"7C,H,P,W,X",,LINCOLNIA RD & QUANTRELL AV,35771,PENTAGON STATION & BUS BAY U6 HOV,30359,Express Metrobus,2,Metro Bus,9,26,Peak,1548,1518,1656,1622,1534,1331,1343,1548,1493,1445,1405,1413
