DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
2018-04-07 13:34:45,1.0,0,NORTH,38.928219,-77.032455,52,2018-04-07 13:47:00,14TH & COLORADO,743451070,2018-04-07 12:53:00,7215
2018-04-07 13:34:52,-7.0,0,NORTH,38.952236,-77.002831,64,2018-04-07 13:32:00,FORT TOTTEN,738814070,2018-04-07 12:53:00,7218
2018-04-07 13:35:02,18.0,1,SOUTH,38.914864,-77.009178,80,2018-04-07 13:54:00,KENNEDY CENTER,757188070,2018-04-07 12:53:00,2549
2018-04-07 13:35:02,11.0,0,NORTH,38.928539,-77.037239,42,2018-04-07 13:28:00,MT PLEASANT VIA ADAMS MORGAN,755661070,2018-04-07 12:54:00,7122
2018-04-07 13:35:04,9.0,0,EAST,38.917007,-77.030685,96,2018-04-07 14:25:00,CAPITOL HEIGHTS STATION,765171070,2018-04-07 12:54:00,2552
2018-04-07 13:35:00,2.0,1,SOUTH,38.900269,-77.006073,D8,2018-04-07 13:36:00,UNION STATION,739875070,2018-04-07 12:54:00,2573
2018-04-07 13:34:50,6.0,0,EAST,38.963966,-76.952133,F4,2018-04-07 13:55:00,NEW CARROLLTON STATION,760656070,2018-04-07 12:54:00,7018
2018-04-07 13:35:03,1.0,0,EAST,38.920521,-76.995789,H8,2018-04-07 13:33:00,RHODE ISLAND AVE STATION,758723070,2018-04-07 12:54:00,2558
2018-04-07 13:35:00,4.0,1,WEST,38.931393,-77.035522,H8,2018-04-07 13:33:00,MT PLEASANT,758664070,2018-04-07 12:54:00,2821
2018-04-07 13:35:01,-1.0,1,SOUTH,39.0508,-77.073769,Q6,2018-04-07 13:45:00,WHEATON STATION,722355070,2018-04-07 12:54:00,7380
2018-04-07 13:35:04,4.0,1,SOUTH,38.905411,-77.036591,S4,2018-04-07 13:44:00,FEDERAL TRIANGLE,770349070,2018-04-07 12:54:00,7341
2018-04-07 13:34:54,6.0,0,LOOP,38.885967,-76.92585,U6,2018-04-07 13:53:00,MAYFAIR-MARSHALL HTS-LINCOLN HTS,726597070,2018-04-07 12:54:00,2579
2018-04-07 13:35:01,8.0,0,NORTH,38.853165,-77.067085,10A,2018-04-07 13:42:00,PENTAGON,734598070,2018-04-07 12:55:00,3032
2018-04-07 13:35:01,5.0,0,EAST,38.873974,-77.26403,2B,2018-04-07 13:42:00,DUNN LORING STATION,723126070,2018-04-07 12:55:00,6037
2018-04-07 13:35:05,6.0,1,WEST,38.897259,-77.008232,96,2018-04-07 14:16:00,TENLEYTOWN STATION,765191070,2018-04-07 12:55:00,2541
2018-04-07 13:34:54,2.0,0,EAST,38.80896,-76.963066,D14,2018-04-07 14:11:00,SUITLAND STATION,749366070,2018-04-07 12:55:00,8102
2018-04-07 13:34:50,5.0,1,WEST,38.96711,-76.961105,F4,2018-04-07 14:00:00,SILVER SPRING STATION,760696070,2018-04-07 12:55:00,7390
2018-04-07 13:34:40,3.0,0,NORTH,38.956017,-77.036362,S2,2018-04-07 13:47:00,SILVER SPRING STATION,770303070,2018-04-07 12:55:00,7205
2018-04-07 13:34:35,0.0,0,EAST,38.870712,-77.152473,1A,2018-04-07 13:57:00,BALLSTON,726921070,2018-04-07 12:56:00,6147
2018-04-07 13:34:58,4.0,0,EAST,38.904861,-77.056778,30N,2018-04-07 14:30:00,NAYLOR RD STATION,720005070,2018-04-07 12:56:00,7115
2018-04-07 13:35:00,2.0,1,SOUTH,38.920517,-77.031784,54,2018-04-07 13:50:00,METRO CENTER,743674070,2018-04-07 12:56:00,7344
2018-04-07 13:34:53,5.0,1,SOUTH,38.895485,-77.027023,64,2018-04-07 13:32:00,FEDERAL TRIANGLE,738837070,2018-04-07 12:56:00,7228
2018-04-07 13:34:23,8.0,1,WEST,39.012188,-77.002533,C4,2018-04-07 14:05:00,TWINBROOK STATION,723628070,2018-04-07 12:56:00,6383
2018-04-07 13:35:01,-1.0,0,EAST,39.055775,-76.996147,C8,2018-04-07 14:04:00,COLLEGE PARK STATION,717423070,2018-04-07 12:56:00,7375
2018-04-07 13:35:01,2.0,1,SOUTH,38.961475,-76.997757,R2,2018-04-07 13:38:00,FORT TOTTEN,754718070,2018-04-07 12:56:00,2539
2018-04-07 13:34:35,8.0,1,WEST,38.899811,-77.026108,X2,2018-04-07 13:35:00,LAFAYETTE SQUARE,727783070,2018-04-07 12:56:00,5414
2018-04-07 13:34:38,4.0,1,WEST,38.832516,-77.208145,3A,2018-04-07 13:35:00,ANNANDALE,750951070,2018-04-07 12:57:00,3034
2018-04-07 13:34:59,7.0,1,SOUTH,38.913261,-77.021896,79,2018-04-07 13:40:00,ARCHIVES,717938070,2018-04-07 12:57:00,6471
2018-04-07 13:34:39,14.0,0,EAST,38.90963,-77.024216,G2,2018-04-07 13:32:00,LEDROIT PARK - HOWARD UNIVERSITY,757758070,2018-04-07 12:58:00,3077
2018-04-07 13:34:33,-1.0,1,WEST,39.022411,-77.123444,J2,2018-04-07 13:40:00,MONTGOMERY MALL,733106070,2018-04-07 12:58:00,7362
2018-04-07 13:35:00,8.0,0,NORTH,39.006153,-76.983902,K6,2018-04-07 13:45:00,WHITE OAK,756581070,2018-04-07 12:58:00,6373
2018-04-07 13:34:46,2.0,1,SOUTH,39.03175,-77.048355,Q4,2018-04-07 13:47:00,SILVER SPRING STATION,722377070,2018-04-07 12:58:00,6352
2018-04-07 13:34:41,4.0,0,EAST,38.827328,-77.180893,29K,2018-04-07 14:11:00,KING STREET - OLD TOWN STATION,737961070,2018-04-07 12:59:00,8042
2018-04-07 13:34:46,7.0,0,NORTH,38.962559,-77.027824,79,2018-04-07 13:41:00,SILVER SPRING STATION,717999070,2018-04-07 12:59:00,6445
2018-04-07 13:34:54,1.0,1,SOUTH,38.897659,-76.995003,90,2018-04-07 13:55:00,ANACOSTIA STATION,724562070,2018-04-07 12:59:00,8086
2018-04-07 13:34:55,-1.0,0,NORTH,38.781162,-77.078613,REX,2018-04-07 13:53:00,KING STREET - OLD TOWN STATION,725319070,2018-04-07 12:59:00,6558
2018-04-07 13:34:57,3.0,1,SOUTH,38.813015,-77.053024,10A,2018-04-07 13:49:00,HUNTINGTON STATION N,734641070,2018-04-07 13:00:00,2609
2018-04-07 13:34:55,5.0,1,SOUTH,38.843975,-77.075684,10B,2018-04-07 14:01:00,HUNTING POINT,732295070,2018-04-07 13:00:00,6477
2018-04-07 13:34:59,0.0,1,WEST,38.854282,-77.136284,16B,2018-04-07 14:03:00,ANNANDALE VIA CULMORE,728959070,2018-04-07 13:00:00,6570
2018-04-07 13:34:58,-5.0,0,EAST,38.870739,-77.152641,28A,2018-04-07 14:19:00,KING STREET - OLD TOWN STATION,740895070,2018-04-07 13:00:00,6166
2018-04-07 13:34:16,12.0,1,WEST,38.877384,-77.192848,2A,2018-04-07 13:32:00,DUNN LORING STATION,722786070,2018-04-07 13:00:00,2630
2018-04-07 13:34:39,8.0,1,WEST,38.886539,-77.000336,36,2018-04-07 14:01:00,FOGGY BOTTOM STATION,759189070,2018-04-07 13:00:00,6196
2018-04-07 13:35:05,7.0,0,EAST,38.903038,-77.051895,38B,2018-04-07 13:34:00,FARRAGUT SQUARE,721761070,2018-04-07 13:00:00,6159
2018-04-07 13:34:42,5.0,1,SOUTH,38.899811,-77.02771,42,2018-04-07 13:33:00,GALLERY PLACE,755561070,2018-04-07 13:00:00,7162
2018-04-07 13:34:47,1.0,1,SOUTH,38.900505,-77.032036,52,2018-04-07 13:54:00,L'ENFANT PLAZA STATION,743672070,2018-04-07 13:00:00,7229
2018-04-07 13:34:51,8.0,0,NORTH,38.934578,-77.032707,54,2018-04-07 13:48:00,TAKOMA STATION,743452070,2018-04-07 13:00:00,7221
2018-04-07 13:35:03,1.0,1,SOUTH,38.820518,-77.142738,7F,2018-04-07 13:39:00,LINCOLNIA,751441070,2018-04-07 13:00:00,2160
2018-04-07 13:35:01,10.0,1,SOUTH,38.889221,-76.979042,B2,2018-04-07 13:52:00,ANACOSTIA STATION,731714070,2018-04-07 13:00:00,2508
2018-04-07 13:34:55,-2.0,0,NORTH,38.907825,-76.978302,B2,2018-04-07 13:53:00,MT RAINIER,731656070,2018-04-07 13:00:00,2525
2018-04-07 13:35:04,3.0,1,WEST,38.990562,-76.989304,C2,2018-04-07 13:57:00,WHEATON STATION,723627070,2018-04-07 13:00:00,7262
2018-04-07 13:34:38,10.0,1,WEST,38.915745,-77.012558,G8,2018-04-07 13:43:00,FARRAGUT SQUARE,716947070,2018-04-07 13:00:00,2540
2018-04-07 13:34:36,4.0,0,EAST,38.932583,-76.993736,G8,2018-04-07 13:45:00,AVONDALE,716915070,2018-04-07 13:00:00,6178
2018-04-07 13:34:42,12.0,0,EAST,38.928738,-77.033234,H4,2018-04-07 13:45:00,BROOKLAND STATION,737230070,2018-04-07 13:00:00,6191
2018-04-07 13:35:05,-5.0,0,NORTH,38.966145,-77.076256,L2,2018-04-07 13:41:00,CHEVY CHASE CIRCLE,736003070,2018-04-07 13:00:00,7145
2018-04-07 13:34:57,0.0,0,EAST,38.839188,-76.946899,P12,2018-04-07 14:03:00,ADDISON RD STATION,738203070,2018-04-07 13:00:00,7069
2018-04-07 13:35:01,3.0,0,NORTH,39.072857,-77.110641,Q4,2018-04-07 13:42:00,ROCKVILLE STATION,722276070,2018-04-07 13:00:00,6388
2018-04-07 13:34:51,1.0,1,SOUTH,38.945038,-76.931816,R12,2018-04-07 13:43:00,DEANWOOD STATION,737613070,2018-04-07 13:00:00,7033
2018-04-07 13:34:47,-5.0,0,NORTH,39.035191,-76.94915,R2,2018-04-07 13:51:00,CALVERTON,754707070,2018-04-07 13:00:00,6185
2018-04-07 13:34:46,2.0,1,SOUTH,38.743889,-77.084457,REX,2018-04-07 13:56:00,FORT BELVOIR,725289070,2018-04-07 13:00:00,6559
2018-04-07 13:34:52,5.0,1,SOUTH,38.917171,-77.036552,S9,2018-04-07 13:42:00,FRANKLIN SQUARE,719718070,2018-04-07 13:00:00,6441
2018-04-07 13:35:03,8.0,0,NORTH,38.971218,-77.036324,S9,2018-04-07 13:41:00,SILVER SPRING STATION,719684070,2018-04-07 13:00:00,6460
2018-04-07 13:34:56,4.0,0,EAST,38.969048,-76.894768,T14,2018-04-07 13:46:00,NEW CARROLLTON STATION,745945070,2018-04-07 13:00:00,7026
2018-04-07 13:34:45,5.0,0,NORTH,38.898487,-76.89595,V14,2018-04-07 13:39:00,DEANWOOD STATION,737775070,2018-04-07 13:00:00,7032
2018-04-07 13:34:51,-6.0,0,CLOCKWIS,38.862728,-76.995934,W6,2018-04-07 13:38:00,GARFIELD - ANACOSTIA LOOP,731251070,2018-04-07 13:00:00,3055
2018-04-07 13:35:05,6.0,0,NORTH,39.061836,-76.945007,Z6,2018-04-07 13:40:00,CASTLE BLVD,729991070,2018-04-07 13:00:00,7264
2018-04-07 13:34:53,13.0,1,SOUTH,38.988605,-76.987854,K6,2018-04-07 13:41:00,FORT TOTTEN,756620070,2018-04-07 13:01:00,7233
2018-04-07 13:34:53,1.0,0,EAST,38.898335,-76.924812,V4,2018-04-07 13:42:00,CAPITOL HEIGHTS STATION,725803070,2018-04-07 13:01:00,8017
2018-04-07 13:34:53,-8.0,0,EAST,38.897755,-76.947205,X2,2018-04-07 13:40:00,MINNESOTA AVE STATION,727663070,2018-04-07 13:01:00,5407
2018-04-07 13:34:55,10.0,0,NORTH,38.899811,-77.026711,80,2018-04-07 14:13:00,FORT TOTTEN,757128070,2018-04-07 13:02:00,2537
2018-04-07 13:34:55,15.0,1,WEST,38.89732,-77.01796,D6,2018-04-07 14:12:00,SIBLEY HOSPITAL,746620070,2018-04-07 13:02:00,2548
2018-04-07 13:34:37,-2.0,0,NORTH,38.9636,-76.951988,F8,2018-04-07 14:03:00,TAKOMA-LANGLEY CROSSROADS TRANSIT CENTER,760426070,2018-04-07 13:02:00,7408
2018-04-07 13:35:03,4.0,1,WEST,38.870197,-76.977386,V2,2018-04-07 13:41:00,ANACOSTIA STATION,725693070,2018-04-07 13:02:00,8082
2018-04-07 13:34:46,3.0,0,NORTH,38.940548,-77.025085,70,2018-04-07 14:04:00,SILVER SPRING STATION,769540070,2018-04-07 13:03:00,5467
