OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Headway,Origin,ONode,Destination,DNode,Mode,Operator,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1387,RO37O,1372,37, ,30,WHEATON STATION & BAY J,22595,POTOMAC COMMUNITY CENTER & BLANK,23252,Other Primary - Local Bus,Ride On Bus,44,Peak,286,298,331,307,335,313,274,285,267,301,326,315,2
1388,RO38I,1373,38, ,30,WHEATON STATION & BAY J,22595,MARINELLI RD & ROCKVILLE PIKE,22317,Other Primary - Local Bus,Ride On Bus,25,Off-Peak,1350,1284,1225,1290,1225,1225,852,827,807,886,907,897,2
1389,RO38I,1373,38, ,30,WHEATON STATION & BAY J,22595,MARINELLI RD & ROCKVILLE PIKE,22317,Other Primary - Local Bus,Ride On Bus,25,Off-Peak,1350,1284,1225,1290,1225,1225,852,827,807,886,907,897,2
1390,RO38O,1330,38, ,30,MARINELLI RD & ROCKVILLE PIKE,22317,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,Ride On Bus,27,Off-Peak,1350,1284,1225,1290,1225,1225,852,827,807,886,907,897,2
1391,RO39AO,1376,39, ,30,GLENMONT STATION & BAY C,22580,GATESHEAD MANOR WAY & BRIGGS CHANEY PARK & RIDE,22663,Other Primary - Local Bus,Ride On Bus,29,Peak,211,211,204,241,232,201,233,284,249,267,321,258,2
1392,RO39I,1377,39, ,30,GATESHEAD MANOR WAY & BRIGGS CHANEY PARK & RIDE,22663,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,Ride On Bus,28,Peak,211,211,204,241,232,201,233,284,249,267,321,258,2
1393,RO04I,1378,4, ,60,SILVER SPRING STATION & BAY R,22172,ARMORY -KNOWLES,22608,Other Primary - Local Bus,Ride On Bus,22,Off-Peak,221,221,247,267,288,220,271,247,254,225,350,249,2
1394,RO41I,1379,41, ,30,GLENMONT STATION & BAY C,22382,GRAND PRE RD & GRAND BEL MANOR,22580,Other Primary - Local Bus,Ride On Bus,13,Peak,967,724,741,806,733,728,625,696,643,743,694,650,2
1395,RO41I,1379,41, ,30,GLENMONT STATION & BAY C,22382,GRAND PRE RD & GRAND BEL MANOR,22580,Other Primary - Local Bus,Ride On Bus,13,Peak,967,724,741,806,733,728,625,696,643,743,694,650,2
1396,RO43BI,1345,43, ,30,SHADY GROVE STATION & BAY C - EAST,22395,TRAVILLE GATEWAY DR & TRANSIT CENTER,22248,Other Primary - Local Bus,Ride On Bus,22,Off-Peak,698,698,992,1100,989,843,709,753,716,794,802,775,2
1397,RO34BO,1356,34, ,27,FRIENDSHIP HEIGHTS STATION & BAY K,22864,WHEATON STATION & BAY K,22595,Other Primary - Local Bus,Ride On Bus,48,Off-Peak,2615,2601,2841,3150,2921,2817,2614,3150,3039,3213,2907,2909,2
1398,RO21I,1383,21, ,30,GATESHEAD MANOR WAY & BRIGGS CHANEY PARK & RIDE,22663,SILVER SPRING STATION & BAY N,22863,Other Primary - Local Bus,Ride On Bus,55,Peak,184,184,201,244,245,204,194,242,226,249,258,241,2
